"Date" "Tem_4m_2p5_AVG" "Tem_4m_12p5_AVG" "Tem_4m_22p5_AVG" "Tem_4m_37p5_AVG" "Tem_4m_52p5_AVG"
2525 11.46299003125 12.8186411458333 13.7469886979167 14.5821775 15.2898648958333
2526 6.05541317651042 7.83920778125 9.34290904166667 11.16103625 12.9695125520833
2527 11.067564703125 12.0463738854167 13.37955015625 15.0173196875 16.3916983854167
2528 12.5857113802083 13.3199616510417 14.1165058854167 15.0265895833333 15.7558746875
2529 5.98864054166667 8.09029624305555 9.98915126041667 12.29026296875 14.1538616145833
2530 10.9323897430556 11.4697999305556 11.9397909375 12.6893721875 13.6584549479167
2531 3.75777363541667 7.69683588541667 10.46196840625 13.3667921875 15.3646047395833
2532 8.82781285416667 9.99736340625 11.2590683645833 12.6254721354167 13.7074245833333
2533 7.55831245791667 9.73946534895833 11.6435832864583 13.57262 14.8733008333333
2534 5.78748990427083 7.182034890625 8.52007633333333 10.33494003125 12.3365392708333
2535 10.9826760625 11.9615426927083 13.212474375 14.7687222395833 16.12274984375
2536 14.307777421875 14.3284641145833 14.5635696354167 15.0323496354167 15.6309046875
2537 6.08824123069444 7.71468115972222 9.30685161458333 11.5329728645833 13.5054052604167
2538 -825.289294326389 -823.740954402778 -822.784036583333 -821.610147083333 -820.584371875
2539 3.89970046192708 6.98685740625 9.33860300520833 12.1539584895833 14.3845443229167
2540 9.95535264583333 10.6612466197917 11.4570096354167 12.5007240625 13.53441953125
2541 9.36421057291667 10.0109029010417 11.0352835416667 12.6248516666667 14.1440554166667
2542 7.2144503403125 7.85337549479167 8.69837728645833 10.1095320260417 11.9463635416667
2543 10.769490640625 11.6840601614583 12.9258646354167 14.5072921354167 15.871605625
2544 13.9787459322917 14.4384285416667 14.8017828645833 15.2422105729167 15.7307070833333
2545 6.315206055625 7.772384875 9.217965109375 11.20554890625 13.0572105208333
2546 -4997.22778896458 -4995.35335078472 -4994.05604088021 -4993.20215734375 -4992.65372520833
2547 4.99720629375 7.36985651041667 9.21949584895833 11.615575625 13.7261546875
2548 8.911048734375 10.0286536979167 11.1782161979167 12.4455489583333 13.46708671875
2549 10.520286421875 10.9729645052083 11.65207475 12.7033355208333 13.8917385416667
2550 7.16039413541667 8.40081584375 9.418743296875 10.62212671875 12.0318410416667
2551 10.16090109375 11.174605109375 12.5160055729167 14.1959091145833 15.5991693229167
2552 12.07617890625 13.2067493385417 14.1198697916667 15.03128515625 15.6809703125
2553 6.66497710736112 7.72882336111111 8.95756936979167 10.8653444895833 12.7049136458333
2554 -9999 -9999 -9999 -9999 -9999
2555 5.95353165135417 7.86800576041667 9.41057817708333 11.4624909895833 13.36062390625
2556 10.597215109375 10.923351125 11.4503344270833 12.36678578125 13.34452546875
2557 7.35190273072917 9.82949938541667 11.4593188020833 12.81896078125 13.8764036979167
2558 6.759369146875 8.05175942708333 9.09413092708333 10.3957896822917 11.91759625
2559 10.6544810989583 11.3542488385417 12.4515570833333 13.9599413020833 15.3325716145833
2560 12.871419015625 13.2374937864583 13.8097290104167 14.6154384895833 15.37602140625
2561 7.74451689583334 8.9822881875 9.77214936979167 11.09573125 12.5786727604167
2562 -5828.33947608333 -5828.54742779688 -5828.60624570833 -5827.96731197917 -5827.26902661458
2563 9.97343983333333 9.98756335416667 10.483523765625 11.7559219270833 13.2887188541667
2564 9.50731670833333 10.5312259583333 11.4368870416667 12.4453834375 13.34828859375
2565 2.632777023125 5.34939785416667 8.03324300520833 10.9760342291667 13.0541547916667
2566 -4163.3712912401 -4162.73441086458 -4162.12171490104 -4161.03453395833 -4159.740008125
2567 11.3879150208333 11.8737048802083 12.7680274479167 14.0369010416667 15.2371389583333
2568 14.0988399635417 14.0688658854167 14.3273159895833 14.7835647916667 15.3413327083333
2569 5.55260045631945 7.27477575 8.85217106770833 10.8064045416667 12.44946203125
2570 9.330779859375 10.0025930052083 10.545253328125 11.7340945833333 13.0352905729167
2571 9.9484316875 10.8176275104167 11.4951027083333 12.46924015625 13.5564082291667
2572 8.369566203125 9.80390983333333 10.9958351041667 12.2154291666667 13.2137220833333
2573 1.98393732401042 4.17975175520833 6.495719171875 9.36553358333333 11.8072428125
2574 -3329.51912690573 -3329.27625952083 -3328.74116194792 -3327.59336035937 -3326.05303192708
2575 12.8605427552083 13.28836828125 13.7013280208333 14.3737802083333 15.2766272916667
2576 11.2767069364583 13.3276989947917 14.2241813020833 14.9103211458333 15.42239421875
2577 7.49702231791667 8.23033620833334 9.05297908333333 10.5844256510417 12.1786408854167
2578 9.964109609375 10.6096242760417 11.2371350729167 12.1912797916667 13.1727435416667
2579 11.1546452604167 11.7781919270833 12.1100380208333 12.85092640625 13.7958047916667
2580 8.65161242708333 9.37468343229167 10.444081328125 11.7961055729167 12.95951359375
2581 2.32686050744792 3.98608084479167 5.90343315625 8.49060300520833 10.9020080208333
2582 4.53982004661458 5.44384626041667 6.435888265625 8.01431216666667 10.0650291458333
2583 7.67908100729167 9.88380694791667 11.9746088125 13.9861874479167 15.2249928125
2584 6.59287066220833 9.41983332291667 11.4401534270833 13.4820564583333 14.7779703645833
2585 9.79999909722222 10.0954074861111 10.2440716614583 11.0723509895833 12.2481832291667
2586 12.197915546875 12.1640120104167 12.135271875 12.5917920833333 13.3651669270833
2587 8.90487831770833 10.9421110104167 11.9812175520833 13.0603078645833 13.9843919791667
2588 8.36900045833333 9.64494971354167 10.6758807239583 11.8079093229167 12.8177438020833
2589 4.10403719729167 4.99244721354167 6.22204613541667 8.21397698958333 10.3764089739583
2590 5.6214175065625 6.19578069270833 6.94275897916667 8.20603441666667 9.97555660416667
2591 6.97817511776042 8.36369663541667 10.2723301041667 12.70528015625 14.5179722916667
2592 6.60292958927083 8.42945098958333 10.0625705520833 12.0944802604167 13.7181655729167
2593 9.68675175 10.3902122152778 10.8481987135417 11.6406294270833 12.56616734375
2594 10.1191461354167 11.5392041145833 12.39513046875 13.1315303645833 13.707205
2595 7.22445389258333 9.71729779166667 11.1883242395833 12.7021109375 13.8654849479167
2596 10.226898640625 10.3298035989583 10.789564890625 11.7278171875 12.7204371354167
2597 4.70445137838542 5.647691265625 6.79329384895833 8.458183796875 10.2572888958333
2598 5.15388979442708 6.36614331770833 7.336136265625 8.54806375520833 10.0771631458333
2599 8.79426425 9.32227503645833 10.4418514375 12.24112984375 13.9420646875
2600 8.38923636817708 9.072141828125 10.0711833854167 11.5919113020833 13.0617844791667
2601 8.43458657638889 9.68282413888889 10.62065346875 11.713710625 12.70139078125
2602 7.13663920338542 8.96571060416667 10.4724640416667 12.29841 13.5121975520833
2603 8.81523340104167 10.0043311666667 11.0505055 12.4160704166667 13.63800125
2604 -2079.44582441146 -2076.51840083333 -2074.92667494792 -2073.78102682292 -2073.06232776042
2605 -1661.41882099573 -1661.13532684375 -1660.55138238021 -1659.39700955729 -1657.99875698958
2606 3.67874684010417 5.23028113020833 6.567716484375 8.190688875 9.92683378645833
2607 10.137685171875 10.7798122552083 11.5170216145833 12.6349243229167 13.8940653125
2608 9.50013085416667 10.205464875 10.8275788541667 11.7907808333333 12.9020625
2609 -410.803957157847 -409.142628645833 -407.61887740625 -405.960724947917 -404.6789203125
2610 6.41426025515625 8.24974274479167 9.67837236979167 11.5439921875 12.9853743229167
2611 7.98922052385417 9.674248015625 10.8144943385417 12.2399144270833 13.4739602604167
2612 -9999 -9999 -9999 -9999 -9999
2613 5.43382464270833 6.57517902083333 7.61860891666667 8.90124320833333 10.2954497239583
2614 3.51667932885417 4.69790503125 5.923911265625 7.61835610416667 9.52943657291667
2615 7.07776022395833 8.793808203125 10.53930534375 12.4339002083333 13.8929690104167
2616 9.33507656614583 10.0912957916667 10.8445392916667 11.8695583854167 12.89703328125
2617 8.88085448611111 9.55847884722222 9.99776906770833 10.9922159375 12.2042858854167
2618 7.38465217083333 8.462857921875 9.61680902604167 11.2557301041667 12.6476636979167
2619 8.30781004166667 9.85415380208333 10.84220734375 12.1210010416667 13.31870765625
2620 -5831.9574383776 -5831.20466211979 -5830.35217947917 -5829.19376309375 -5828.27265302083
2621 -3330.29478301115 -3329.83312267708 -3328.95393917187 -3327.58613310417 -3326.32017759375
