"year" "doy" "hour" "month" "SW"
2010 39 14 2 -9999
2010 39 15 2 -9999
2010 39 16 2 -9999
2010 39 17 2 -9999
2010 39 18 2 -9999
2010 39 19 2 -9999
2010 39 20 2 -9999
2010 39 21 2 -9999
2010 39 22 2 -9999
2010 39 23 2 -9999
2010 40 0 2 -9999
2010 40 1 2 -9999
2010 40 2 2 -9999
2010 40 3 2 -9999
2010 40 4 2 -9999
2010 40 5 2 -9999
2010 40 6 2 -9999
2010 40 7 2 -9999
2010 40 8 2 -9999
2010 40 9 2 -9999
2010 40 10 2 -9999
2010 40 11 2 -9999
2010 40 12 2 -9999
2010 40 13 2 -9999
2010 40 14 2 -9999
2010 40 15 2 -9999
2010 40 16 2 -9999
2010 40 17 2 -9999
2010 40 18 2 -9999
2010 40 19 2 -9999
2010 40 20 2 -9999
2010 40 21 2 -9999
2010 40 22 2 -9999
2010 40 23 2 -9999
2010 41 0 2 -9999
2010 41 1 2 -9999
2010 41 2 2 -9999
2010 41 3 2 -9999
2010 41 4 2 -9999
2010 41 5 2 -9999
2010 41 6 2 -9999
2010 41 7 2 -9999
2010 41 8 2 -9999
2010 41 9 2 -9999
2010 41 10 2 -9999
2010 41 11 2 -9999
2010 41 12 2 -9999
2010 41 13 2 -9999
2010 41 14 2 -9999
2010 41 15 2 -9999
2010 41 16 2 -9999
2010 41 17 2 -9999
2010 41 18 2 -9999
2010 41 19 2 -9999
2010 41 20 2 -9999
2010 41 21 2 -9999
2010 41 22 2 -9999
2010 41 23 2 -9999
2010 42 0 2 -9999
2010 42 1 2 -9999
2010 42 2 2 -9999
2010 42 3 2 -9999
2010 42 4 2 -9999
2010 42 5 2 -9999
2010 42 6 2 -9999
2010 42 7 2 -9999
2010 42 8 2 -9999
2010 42 9 2 -9999
2010 42 10 2 -9999
2010 42 11 2 -9999
2010 42 12 2 -9999
2010 42 13 2 -9999
2010 42 14 2 -9999
2010 42 15 2 -9999
2010 42 16 2 -9999
2010 42 17 2 -9999
2010 42 18 2 -9999
2010 42 19 2 -9999
2010 42 20 2 -9999
2010 42 21 2 -9999
2010 42 22 2 -9999
2010 42 23 2 -9999
2010 43 0 2 -9999
2010 43 1 2 -9999
2010 43 2 2 -9999
2010 43 3 2 -9999
2010 43 4 2 -9999
2010 43 5 2 -9999
2010 43 6 2 -9999
2010 43 7 2 -9999
2010 43 8 2 -9999
2010 43 9 2 -9999
2010 43 10 2 -9999
2010 43 11 2 -9999
2010 43 12 2 -9999
2010 43 13 2 -9999
2010 43 14 2 -9999
2010 43 15 2 -9999
2010 43 16 2 -9999
2010 43 17 2 -9999
2010 43 18 2 -9999
2010 43 19 2 -9999
2010 43 20 2 -9999
2010 43 21 2 -9999
2010 43 22 2 -9999
2010 43 23 2 -9999
2010 44 0 2 -9999
2010 44 1 2 -9999
2010 44 2 2 -9999
2010 44 3 2 -9999
2010 44 4 2 -9999
2010 44 5 2 -9999
2010 44 6 2 -9999
2010 44 7 2 -9999
2010 44 8 2 -9999
2010 44 9 2 -9999
2010 44 10 2 -9999
2010 44 11 2 -9999
2010 44 12 2 -9999
2010 44 13 2 -9999
2010 44 14 2 -9999
2010 44 15 2 -9999
2010 44 16 2 -9999
2010 44 17 2 -9999
2010 44 18 2 -9999
